blomen_essential,gene
FALSE,Dpm1
FALSE,Gclc
TRUE,Las1l
FALSE,Krit1
FALSE,Ica1
FALSE,Plxnd1
FALSE,Arx
FALSE,Slc25a13
FALSE,Meox1
TRUE,Crebbp
FALSE,Zfx
FALSE,Lamp2
FALSE,Itga2b
FALSE,Crlf1
FALSE,Cacng3
FALSE,Cacna1g
FALSE,Dlx6
FALSE,Rala
FALSE,Agk
FALSE,Gtf2ird1
FALSE,Vps41
FALSE,Adipor2
TRUE,Pafah1b1
FALSE,Cd79b
FALSE,Pax6
FALSE,Cacna2d2
FALSE,Sele
FALSE,Syn1
FALSE,Jarid2
FALSE,Cdkl5
FALSE,Adam22
FALSE,Cry1
FALSE,Nfix
FALSE,Pkd1
FALSE,Rhobtb2
FALSE,Pax7
FALSE,Baz1b
TRUE,Uqcrc1
FALSE,Gipr
FALSE,Cd4
FALSE,Fyn
FALSE,Rnf216
TRUE,Lars2
FALSE,Gabra3
FALSE,Nr1h4
FALSE,Slc7a14
TRUE,Polr3b
FALSE,Mdh1
TRUE,Matr3
FALSE,Isl1
FALSE,Atp2c1
FALSE,Cntn1
FALSE,Agps
FALSE,Atp1a2
FALSE,Runx3
FALSE,Spast
FALSE,Nrxn3
FALSE,Gabra1
TRUE,Ndufs1
FALSE,Rb1cc1
FALSE,Akap11
FALSE,Gclm
FALSE,Nr1h3
TRUE,Sec63
FALSE,Fas
FALSE,Ifngr1
FALSE,Tnfrsf1b
FALSE,Pou2f2
FALSE,Ank1
FALSE,Grn
FALSE,Ift88
FALSE,Lrrc7
FALSE,Atp6v0a1
TRUE,Slc4a7
FALSE,Timp2
FALSE,Tbc1d23
FALSE,Cul3
FALSE,Casr
FALSE,Flt4
FALSE,Nsun2
TRUE,Trio
FALSE,Clec16a
FALSE,Rtn4r
FALSE,Spata7
TRUE,Ap2s1
FALSE,Zic2
FALSE,Adrb1
FALSE,Epha3
TRUE,Hspa5
FALSE,Wdr37
TRUE,Tpr
FALSE,Dtnbp1
TRUE,Vps13d
